Hospital Name,Address,District ,City,State,Pincode
Venkataramana Heart & Maternity Hospital,"10-3-206/A3/A, 
Reddy & Reddy Colony,
Tirupathi,
",Tirupati  ,Tirupati,Andhra Pradesh,517501
Vivekananda Super Speciality Hospital,"Door No: 13-4-45, Behind Sri Krishna Chitralaya Hall Kotappakonda Road, Narasaraope",Palnadu,Narasaraopet,Andhra Pradesh,522601
Usha Prime Multi Speciality Hospital,"Usha Prime Multi Speciality Hospital,
# 12-4-6/1,  Beside Iob, Pudimadaka Road, Anakapalle.
Visakhapatnam District-531001, Andhara Pradesh.
",Anakapalle,Anakapalle,Andhra Pradesh,531001
Bhavanam Venkataram Memorial Gbr Super Speciality Hospital,"D.No:10-1-10/1, Opposite Reddy College, Palanadu Road, Narasaraopet, Guntur(Dt), Andhra Pradesh. Pin:522601",Palnadu,Narasaraopet,Andhra Pradesh,522601
Aswini Hospitals,"#15-1-17, Near Mangalagiri Railway Gate",Guntur,Guntur,Andhra Pradesh,522001
Aarogya Hospitals,"28-163 ,Bandar Road ,Revenue Ward , No : 25 Nuzividu",Eluru,Nuzvid,Andhra Pradesh,521201
Kmr Universal Hospital Nandigama,"Vijayawada Hwy, Nandigama, Krishna",Krishna,Somavaram,Andhra Pradesh,521185
Sri Chakra Hospitals,"#10-13-496/C, Reddy And Reddy Colony, Icici Bank Lane, Near Bus Stand, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Vijaya Hospital,"Revenue Colony, Nandyal Road",Kurnool,Kurnool,Andhra Pradesh,518002
Apollo Heart Hospital,"#10-50-80, Waltair Main Road, Opposite Daspalla Executive Court, Ram Nagar",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530003
Apollo Hospitals,"Plot No.1, Sy.No 68P & 76
Health City, Arilova Street,
Chinagadhili Village,Visakhapatnam-",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Apollo Specility Hospitals,"H.No.16/111/1133, Pinakani Nagar,
Muthukuru Road.",Nellore,Nellore,Andhra Pradesh,524004
Samudra Health Care Enterprises Limited,"#13-1-3, Main Road, Kakinada",Kakinada,Kakinada,Andhra Pradesh,533001
Amrutha Hospital,"D No 6-615, Srikakulam Road, Rajam",Vizianagaram,Rajam,Andhra Pradesh,532127
Yeluri Hospitals,"D.No:12-12-52/B,Old Club Road, Guntur , Old Guntur , Guntur , Andhra Pradesh",Guntur,Guntur,Andhra Pradesh,522001
Kims Hospital,"D.No.7-5-9/4, Prakasam Road, Ganganamma Pet, Tenali, Guntur",Guntur,Guntur,Andhra Pradesh,522201
Sunayana Eye Hospital,"H. No. 22-6-59, Krishnarao Naidu Street, Kothapet, Tenali, Dt. Guntur",Guntur,Guntur,Andhra Pradesh,522201
Mm Hospital,"Door No:18-1-92/B, Yashoda Nagar, Opp. Andhra Pank, Kt Road, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Aims For Child Health,"#29-23-31/1,Tadepalli Vari Street, Suryaraopet, Vijayawada-2",Krishna,Vijayawada ,Andhra Pradesh,520002
Lakshmi Sandhya Healthcare Pvt Ltd,"Kaleshwar Road, Suryaraopeth, Opposite Central Bank, Governorpeta",Krishna,Vijayawada,Andhra Pradesh,520002
Mahatma Gandhi Cancer Hospital Research Institute,"Plot No 1, Sector 7, Mvp Colony",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530017
Sowjanya Hospitals,"29-23-23, Tadeaplii Vari Street,  Suryaraopeta, Vijayawada",Krishna,Vijayawada ,Andhra Pradesh,520002
Harinath Childrens Nursing Home,"Harinath Childrens Nursing Home3-2-11, 1St Lane, Gunturu Vari Thota, Near Goudiya Matam, Guntur",Guntur,Guntur,Andhra Pradesh,522001
Lakshmiram Hospitals,"4-2-158, Lakshmiram Hospital, Srikalahasthi Bypass Road, Naidupeta, Nellore-524126
",Nellore,Nellore,Andhra Pradesh,524126
P V S Hospital,"24/4/2021
Sriram Nagar
Naidupet",Nellore,Nellore,Andhra Pradesh,524126
Sai Indian Hospitals,"27- 8-13                  Beside Water Tank                    Juvvalapalem Road , Bhimavaram  ,West Godavari",West Godavari,Bhimavaram ,Andhra Pradesh,534202
Sri Krishna Institute Of Medical Sciences,"Beside Manipuram Flyover, Near Bus Stand, Manglagiri Road",Guntur,Guntur,Andhra Pradesh,522001
Latha Thalli Pillala Hospital,"10-23-8, 3Rd Ln, Christian Peta, Kavali, Spsr Nellore Andhra Pradesh ",Nellore,Nellore,Andhra Pradesh,524201
Seshadri Hospital,"D.No.38-2-4, Budhavarapu Street, Near Town Police Station, Opp Girls High School, Palakol , West Godavari",West Godavari,Palakol,Andhra Pradesh,534260
Indus Hospitals (A Unit Of Vasugan Medical Special,"#18-1-6, Kgh Down Road, Maharanipeta",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002
Sai Nethralayam,"Behind Nagasarapur Rama Rao Complex, Palnadu Road, Narasaraopet",Palnadu,Narasaraopet,Andhra Pradesh,522601
Dr.Anji Reddy Super Speciality Hospital,"Door No: 2-15-82, Enugula Bazar,   Narasaraopet, Guntur",Palnadu,Narasaraopet,Andhra Pradesh,522601
Life Line Trimurthy Hospital, Dornakal Road,Krishna,Vijayawada,Andhra Pradesh,520002
Nayana Eye Care  Dental  Research Centre,"25/684-391-1A, Padmavathi Nagar, Nandyal,  Kurnool District, Andhra Pradesh",Kurnool,Kurnool,Andhra Pradesh,518501
Dr.B.Jawahar Nursing Home,"D.No: 2-59/A, Nawabpet, Main Road, Chimakurthy, Prakasam",Prakasam,Chinaravipadu,Andhra Pradesh,523226
Sravani Hospital,"Near Anna Srinivasaarao Kalyanamandapem, Old Bank Road, Kothapet",Guntur,Guntur,Andhra Pradesh,522001
Vasan Eye Care Hospital,"#13-5-531, D/11, Gayathri Towers, Tata Nagar, Opposite Both Hospital, Tuda Office Road",Chittoor,Tirupati,Andhra Pradesh,517501
Vasan Eye Care Hospital-Kurnool,"#46/87/57-1 Kami Setty Acradewoodland Compound, Bhudwarapet",Kurnool,Kurnool,Andhra Pradesh,518002
Vasan Eye Care Hospital,"#29-14-44, Prakasam Road, Near Hotel Puspha, Suryaraopeta, Moghalrajpuram",Krishna,Vijayawada,Andhra Pradesh,520002
Vasan Eye Care Hospital,"#12-25-174, Opposite To Shivalayam, Kothapeta",Guntur,Guntur,Andhra Pradesh,522001
Vasan Eye Care Hospital,"#15-365, Brindavanam,Nellore",Nellore,Nellore,Andhra Pradesh,524001
Vasan Eye Care Hospital,"#8-13-7, Sai Sarvesh Heights, Beside Titan Showroom, Nh-5 Highway, Old Gajuwaka Junction",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530026
Vasan Eye Care Hospital,"#15/581, Raju Road",Anantapur,Ananthapur,Andhra Pradesh,515001
Vasan Eye Care Hospital,"#10-50-81, Waltair Main Road, Rock Dale Layout",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002
Vasan Eye Care Hospital ,"6-1-37,Suryaraopeta, Kakinada - 533002, Andhra Pradesh",Kakinada,Kakinada,Andhra Pradesh,533002
Dr.Agarwal S Eye Hospital Ltd,"Naga Chambers,D.No.12-1-16, Plot No. 49, S. No. 1051, Division No. 19, Prakashrao Peta, Waltair Main Road,
Vizagapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002
Dr Agarwal S Healthcare Ltd,"No.704 Municipal Ward No 24-2 \\\\Nn V R Central Dargamitta, G T Road",Nellore,Nellore,Andhra Pradesh,524003
Dr Agarwal S Healthcare Ltd,13-2-71 Old Club Road\\Nkothapet\\N,Guntur,Guntur,Andhra Pradesh,522001
Dr Agarwal S Healthcare Ltd,"D No 54-9-8, Addepalli Colony, A V Appa Rao Road,\\Nrajahmundry",East Godavari,Rajahmundry,Andhra Pradesh,533103
Dr Agarwals Healthcare Ltd,"Dr No-19-4-8/14, Air Bypass Road, Stv Nagar, Tirupathi",Tirupati  ,Tirupati,Andhra Pradesh,517502
Srikiran Institute Of Ophthalmology,"#5-150/1, Near Atchampeta Junction, Penumarthy Road, Apsp Camp Post",Kakinada,Kakinada,Andhra Pradesh,533005
Sunrise Childrens Hospital,"8-11-8,1St Floor,\Nlatha Hospital Building,\Nold Gajuwaka,\Nvisakhapatnam-530026",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530026
Akasam Hospital,"6-4-4, Mahipala Street, Amalapuram, Konaseema Delta, East Godavari, Andhra Pradesh.",Konaseema ,Amalapuram,Andhra Pradesh,533201
Abhaya Multispeciality Hospital,"D No 33-18-2, Chalasani Venkata Krishaniah Street, Bus Stop Road, Near Pushpa Hotel, Suryaraopeta, Vijayawada",Krishna,Vijayawada ,Andhra Pradesh,520002
Gj Hospitals  Truma Centre,"Uma Palace, Health City, Arilova Centre Visakhapatnam - 530040",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Rk Eye Centre,"Opposite To Anna Srinivasa Rao Kalyana Mantapam, Kothapeta",Guntur,Guntur,Andhra Pradesh,522001
Sri Kali Nursing Home,"#14-9-14, Near State Bank Of India, Pedana",Krishna,Krishna,Andhra Pradesh,521366
Srujana Multi Speciality Hospital,"#2 -27 24/1, Gokul Street, Near Safe Hospital, Sree Nagar Colony",Kakinada,Kakinada,Andhra Pradesh,533003
Svara Super Speciality Hospital(A Unit Of Miso Health Care Private Limited),"D.No.23-5/1-1B, Brts Road, Rajavari Street, Satyanarayana Puram, Vijayawada",Krishna,Vijayawada,Andhra Pradesh,520011
Queens Nri Hospital,"D.No. 5-1-11, Opposite To Sbi Main Branch, Near Ncs Theatre,",Vizianagaram,Vizianagaram,Andhra Pradesh,535001
Beleaf Hospital,"29-26-60, Jadagam Vari Street Suryaraopet",Krishna,Vijayawada ,Andhra Pradesh,520002
Nuha Hospital,"D.No12-19-61&62Old Bank Road,  Kothapet,Guntur",Guntur,Guntur,Andhra Pradesh,522001
Nephrocare Health Services,"4Th Floor Door No 20-7-37,Tmc Music Centre Road
Maruthi Nagar,Korlagunta,Tirupati – 517501",Tirupati  ,Tirupati,Andhra Pradesh,517501
Nephrocare Health Services,"8-1-1G, Ground Floor, Brijvasi Appartments\Nk. T. Road\Ntirupati -517501",Tirupati  ,Tirupati,Andhra Pradesh,517501
Nephrocare Health Services,"H.No – 46-87,Budhawarpeta,
Kurnool",Kurnool,Kurnool,Andhra Pradesh,518002
Nephrocare Health Services,"Sri Venkata Ramana Nursing Home Pvt Ltd, Kurnool Road, Venkateshwara Nagar, Ongole",Prakasam,Ongole,Andhra Pradesh,523001
"Nephrocare Health Service Pvt Ltd-Kuppam, Andhra Pradesh","C/O. Nephroplus Dialysis Center, P.E.S. Institute Of Medical Sciences And Research, National Highway 219,Kuppam ,Chittoor,",Chittoor,Peddabangarunatham,Andhra Pradesh,517425
Chiranjeeva Nursing Home,"Suryanagar,Near Ramalayam, Amalapuram,East Godavari",Konaseema ,Amalapuram,Andhra Pradesh,533201
Ankura Hospital For Women  Children (A Unit Of Ankura Tirupati Hospitals Pvt Ltd),"House No. 19-3-14/N, Rs No.5-2A/4, And 5-2A/5, Ward No 19, Block No 3, Renigunta Road, P&T Colony, Tirupati,",Tirupati  ,Tirupati,Andhra Pradesh,517501
Ankura Hospital For Women And Children (Ankura Institute Of Medical Sciences Private Limited),"60-9-10/2A, 60-9-10/2B, Chennupati  Shyam Prasad Street, Siddharthanagar, 7Th  Lane, Pinnamaneni Poly Clinic Road, Vijayawada, Krishna",Krishna,Vijayawada ,Andhra Pradesh,520010
Sri Sri Holistic Hospitals(A Unit Of Sree Ramachandra Health Services Pvt Ltd),"D.No :3-223,228 And 229, Christian Lane, Kadapa : 516001 Andhra Pradesh",Ysr Kadapa,Kadapa,Andhra Pradesh,516001
"Quality Care India Ltd (Care Hospitals,Vizag)","D No.17, 42005,Opp Kgh, Maharanipeta",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002
"Quality Care India Ltd (Care Hospitals,Vizag)","10-55-11/5\Na.S.Raja Complex\Nramnagar,Visakhapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530003
Maxivision Laser Centre-Vij,"H No.40-1-48, Sri Sai Bhavan, Opposite- Hotel Dv Manor, Mg Road, Labbipet",Krishna,Vijayawada,Andhra Pradesh,520010
Maxivision Eye Hospitals Private Limited,"Pavan Paradise, Near Diamond Park, Dwaraka Nagar\Nvizag",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530016
Omega Hospitals ( A Unit Of Guntur Institute Of Oncology Pvt Ltd,"D. No. 55-1-1, Meher Nagar, Behind Meher Baba Temple, Autonagar",Guntur,Guntur,Andhra Pradesh,522001
Omega Hospitals (A Unit Of M/S Vizag Speciality Hospital),"Plot No: 4, Health City, Arilova, Visakhapatnam",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Omega Hospitals ( A Unit Of Kurnool Institute Of Oncology Pvt Ltd,"Plot No. 178,173, Judicial Colony",Kurnool,Kurnool,Andhra Pradesh,518003
Jayathi Hospitals,"D.No: 13-8-168,169,Old Club Road,Kothpet,Guntur",Guntur,Guntur,Andhra Pradesh,522001
Knr Hospital,"D.No: 4-14-227/1,Anjaneyapeta,Opp:Hindu Pharmacy College,Amaravathi Road,Guntur,Guntur(Dist),Andhra Pradesh-522007",Guntur,Guntur,Andhra Pradesh,522007
Sri Lakshmi Maternity And Surgical Nursing Home,"D.No: 12-25-24,Beside Sivalayam, Kothapet, Guntur",Guntur,Guntur,Andhra Pradesh,522001
Dhruthi Hospital,"Door No : 12-21-30, Opp Union Bank, Gourishankar Theatre Road, Kothapet, Guntur",Guntur,Guntur,Andhra Pradesh,522001
M. B. Multispeciality Hospitals,"Plotno. 15B,  Healthcity, Chinagadili, Arilova, Visakhapatnam",Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530040
Sri Geetha Super Speciality Eye Hospital,"#5-91-2, 4Th Line, Laxmipuram, Opposite. Lvr Club, Behind Harihara Mahal",Guntur,Guntur,Andhra Pradesh,522007
Naveen Multispeciality Hospital,"75-8-12,A.V.A Road ,Gandhipuram-2 ,Rajamahendravaram\\Neast Godavari District  533103,Ap",East Godavari,Rajahmundry,Andhra Pradesh,533103
Sri Sai Kiran Maternity Fertility  Hospital  Ivf Art Centre,"Pogathota, Nellore",Nellore,Nellore,Andhra Pradesh,524001
Sree Hospital,Dr.No. 22-6-76/1 Akkarampalli Road\Nopp Leprosy Hospital\Ntirupati,Tirupati  ,Tirupati,Andhra Pradesh,517501
Sanjivi Orthopeadic And Physiotherapy Cnetre,"4Th Line Lakhsmipuram
Guntur",Guntur,Guntur,Andhra Pradesh,522007
Pg Star Hospital,"Rangala Street, Ramanaidu Road, Vizianagaram",Vizianagaram,Vizianagaram,Andhra Pradesh,535001
Ravindra Multi Speciality Hospital,D.No 12-19-44 Old Bank Road Kothapet Guntur,Guntur,Guntur,Andhra Pradesh,522001
Kakumani Hospital,"D.No.37-1-5(17),  Near East Kb Restaurant, Sai Baba Temple Road ",Prakasam,Ongole,Andhra Pradesh,523001
Dr Akbar Eye Hospital And Laser Centre,"#12-3-234, 6Th Cross, Sai Nagar",Anantapur,Ananthapur,Andhra Pradesh,515001
Palnadu Hospitals,"7-234 Main Road, Piduguralla
Guntur District-522413
Andhra Pradesh",Palnadu,Piduguralla,Andhra Pradesh,522413
Surareddy Nursing Home,"# 1-42-59/4, High School Road, Pandalapaka, Biccavolu Mandal, East Godavari District, Andhra Pradesh - 533345.",East Godavari,Bikkavolu,Andhra Pradesh,533345
Dr Veerraju Nursing Home,"2-210/6/7,  Near Kakinada Public School, Simhadri Nagar, Valasapakala, Kakinada.",Kakinada,Kakinada,Andhra Pradesh,533005
Sri Santhi Ent Hospital,"75-7-37/1, Opp Sbi-Danavaipet, Prakash Nagar Round Park Vinayaka Temple Opp Street, Danavaipet, Rajahmundry, E G Dt,, Ap",East Godavari,Rajahmundry,Andhra Pradesh,533103
Vasu Cardiac Care,"20-3-126 Leela Mahal Circle, Tirumala Bypass Road, Near Reliance Digital, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Ravi Hospital,"D.No:29-28/1-24.25..,Kovelamudivari Street,  Suryaraopet ,Vijayawada",Krishna,Vijayawada ,Andhra Pradesh,520002
Bhavani Mutispeciality   Laparoscopy Hospital,"D.No: 8-840, Sujana Plaza, Vedhireswaram Road, Ravulapalem, East Godavari Dt. A.P. - 533238.",Konaseema ,Ravulapalem,Andhra Pradesh,533238
Dr Anji Reddy Multispeciality Hospitals,"#16/682, Piduguralla Main Road, Piduguralla",Guntur,Guntur,Andhra Pradesh,522413
Bhanu Eye Care Centre,"D.No: 26-23-17,\\Nnh-5, Main Road\\Nchina Gantyada,\\Nvisakhapatnam-530026",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530026
Karuna Hospital,"10/202, Eluru Road, Gudivada, Krishna",Krishna,Gudivada,Andhra Pradesh,521301
Rama Nethralaya,"D.No: 4-3-2, Ranganatha Complexkrishna Nagar 1St Cross Entrance, Near Sri Krishna Kalyana Mandapamammadanpalli, Chittoor",Annamayya,Madanapalle,Andhra Pradesh,517325
Dr. Nagalakshmi Specialty Hospital,"8/700,\\Ngandhi Road",Ysr Kadapa,Proddatur,Andhra Pradesh,516360
Dr P S R Anjaneyulu  Meenakshi Eye Hospital,"H.No : 12-3-100/6,Sagar Road, Macherla, Guntur",Palnadu,Narasaraopet,Andhra Pradesh,522426
Andhra Prime Hospitals,"Opp Metro Theatre, Kothapet, Guntur",Guntur,Guntur,Andhra Pradesh,522001
Helios Hospital,"46-19-17,Opposite Old Postoffice,Danvaipeta,Rajahmundry",East Godavari,Rajahmundry,Andhra Pradesh,533103
Mallika Hospital,"Old Club Road, Kothapet",Guntur,Guntur,Andhra Pradesh,522001
Dvc Hospital  Research Centre,"D.No:12-299, Vadalmudi ( Village) Cherbolu ( M.D), Guntur (Dist ) Andhra Pradesh, ",Guntur,Vadlamudi,Andhra Pradesh,522213
Sri Venkateswara Multispeciality Hospital,Near Rtc Bus Stand Old Club Road Kothapet Guntur,Guntur,Guntur,Andhra Pradesh,522001
Sankar Foundation,"#19-50, Sri Sai Madhava Nagar, Naiduthota, Vepagunta",Visakhapatnam,Visakhapatnam,Andhra Pradesh,530047
Sundara Raja Nursing Home,"#5-1/3, Rajapauagal Road",Prakasam,Ongole,Andhra Pradesh,523001
Dr. Bethune Nursing Home,"Mangamuru Road
Ongole
Prakasam",Prakasam,Ongole,Andhra Pradesh,523002
Samishta Hospital And Research Institute (Shri Hos,"Kakumanuvari Street, 4Th Line, Donka Road, Guntur",Guntur,Guntur,Andhra Pradesh,522002
Amara Hospital (A Unit Of G2 Healthcare Pvt Ltd),"Dr No: 7 - 3 - 166, Renigunta - Kadapa Highway, Karakambadi ( Village), Renigunta (Mandal),  Chittoor, Tirupati",Tirupati  ,Tirupati  ,Andhra Pradesh,517520
Siddhartha Hospital,"#34-1-20, Temple Street
Kakinada-533001",Kakinada,Kakinada,Andhra Pradesh,533001
Modern Eye Hospital & Research Centre,"50-760-A-127-2-A, C.P.R. Mansion, Behind Satyanarayana Swamy Temple, Gayathri Estate, Kurnool",Kurnool,Kurnool,Andhra Pradesh,518002
Balaji Eye Care Laser Centre,"15-455, Kamala Nagar,",Anantapur,Ananthapur,Andhra Pradesh,515001
Udaya Eye Hospital,"D.No:29-22-18, Pisupati Vari Street, Suryaraopet, Vijayawada-520002, Krishna District, Andhra Pradesh.",Krishna,Vijayawada,Andhra Pradesh,520002
Mgm Hospitals,"D.No. 7-226/1,2,3 Mallikarjuna Naidu Nagar, Thottambedu (V&P,) Chennai (Dt),",Tirupati  ,Srikalahasti,Andhra Pradesh,517644
Vrindaa Super Specialty Hospital  Cancer Research Centre,Visakhapatnam,Visakhapatnam ,Visakhapatnam,Andhra Pradesh,530041
Srinivasa Super Speciality Hospital,"#216, Behind Thayagaraja Mandapam, Opposite Srinivasa Theatre, Tirupati",Tirupati  ,Tirupati,Andhra Pradesh,517501
Krishna Institute Of Medical Sciences Limited,"#40120/A, North Bypass Road, Nh-5, Backside Agriculture Market Yard, Mukthinuthalapadu Village, Ongole",Prakasam,Ongole,Andhra Pradesh,523001
Krishna Institute Of Medical Sciences Ltd,"24/1520/1, Main Road",Nellore,Nellore,Andhra Pradesh,524003
